Latitude,Longitude,Ward,Community Area,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Month,Day,Hour,Severity,Season
41.88059439,-87.70295942,28.0,27.0,2023-08-11 11:00:00,0000X S ALBANY AVE,1790,OFFENSE INVOLVING CHILDREN,False,True,1124,11,26,2023,8,11,11,Other,Summer
41.88077908,-87.72137703,28.0,26.0,2023-11-11 00:00:00,038XX W MADISON ST,910,MOTOR VEHICLE THEFT,False,False,1122,11,7,2023,11,11,0,Other,Fall
41.91518726,-87.77542523,29.0,25.0,2023-11-10 05:30:00,019XX N AUSTIN AVE,810,THEFT,False,False,2513,25,6,2023,11,10,5,Less Severe,Fall
41.95203631,-87.64628188,46.0,6.0,2023-11-03 12:00:00,006XX W GRACE ST,1156,DECEPTIVE PRACTICE,False,False,1925,19,11,2023,11,3,12,Other,Fall
41.89888459,-87.7341962,37.0,23.0,2023-11-10 17:30:00,043XX W AUGUSTA BLVD,910,MOTOR VEHICLE THEFT,False,False,1111,11,7,2023,11,10,17,Other,Fall
41.69997111,-87.53286642,10.0,52.0,2023-11-10 20:28:00,107XX S AVENUE H,910,MOTOR VEHICLE THEFT,False,False,432,4,7,2023,11,10,20,Other,Fall
41.89850206,-87.69924242,26.0,24.0,2023-11-10 12:15:00,009XX N FRANCISCO AVE,031A,ROBBERY,False,False,1211,12,3,2023,11,10,12,Severe,Fall
41.70595655,-87.64837349,21.0,73.0,2023-11-10 11:00:00,010XX W 103RD PL,560,ASSAULT,False,True,2232,22,08A,2023,11,10,11,Severe,Fall
41.74950033,-87.6011574,8.0,44.0,2019-04-21 12:30:00,009XX E 80TH ST,031A,ROBBERY,False,False,631,6,3,2019,4,21,12,Severe,Spring
41.74588254,-87.59716764,8.0,45.0,2020-10-30 16:30:00,011XX E 82ND ST,266,CRIMINAL SEXUAL ASSAULT,True,True,411,4,2,2020,10,30,16,Other,Fall
41.74662631,-87.61803195,6.0,44.0,2021-04-17 15:20:00,081XX S PRAIRIE AVE,325,ROBBERY,True,False,631,6,3,2021,4,17,15,Severe,Spring
41.86668568,-87.66342658,14.0,63.0,2020-10-01 00:01:00,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,False,True,923,9,2,2020,10,1,0,Other,Fall
41.86668568,-87.66342658,14.0,63.0,2011-08-10 00:01:00,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,False,True,923,9,2,2011,8,10,0,Other,Summer
41.86668568,-87.66342658,14.0,63.0,2015-09-24 00:00:00,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,False,True,923,9,2,2015,9,24,0,Other,Fall
41.86668568,-87.66342658,14.0,63.0,2014-09-07 00:00:00,031XX W 53RD PL,1753,OFFENSE INVOLVING CHILDREN,False,True,923,9,2,2014,9,7,0,Other,Fall
41.73640903,-87.56241031,7.0,46.0,2022-01-11 15:00:00,087XX S KINGSTON AVE,1565,SEX OFFENSE,False,True,423,4,17,2022,1,11,15,Other,Winter
41.77178244,-87.64943693,16.0,68.0,2022-01-14 15:55:00,067XX S MORGAN ST,2826,OTHER OFFENSE,False,True,724,7,26,2022,1,14,15,Less Severe,Winter
41.89920607,-87.70550559,36.0,23.0,2022-01-13 16:00:00,031XX W AUGUSTA BLVD,1752,OFFENSE INVOLVING CHILDREN,False,True,1211,12,17,2022,1,13,16,Other,Winter
41.76333797,-87.59700113,5.0,69.0,2022-08-05 21:00:00,072XX S UNIVERSITY AVE,1544,SEX OFFENSE,True,False,324,3,17,2022,8,5,21,Other,Summer
