ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13203424,JG415190,9/6/23 22:00,045XX S EVANS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,221,2,4,38,08B,1181913,1875055,2023,9/14/23 15:43,41.81237859,-87.60825871,"(41.812378587, -87.608258712)"
13208282,JG421422,9/2/23 9:00,017XX W THOME AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,FALSE,FALSE,2433,24,40,77,11,1163792,1941680,2023,9/14/23 15:41,41.99560272,-87.67284475,"(41.995602717, -87.672844745)"
13209277,JG422539,8/15/22 9:00,0000X W JACKSON BLVD,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,113,1,4,32,6,,,2022,9/14/23 15:43,,,
13201378,JG413140,9/6/23 7:45,038XX N KEDVALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,TRUE,1732,17,30,16,14,1148162,1925264,2023,9/14/23 15:43,41.9508725,-87.730765,"(41.950872498, -87.730764998)"
13205614,JG418245,9/6/23 1:00,020XX W ST PAUL AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,32,24,6,1162536,1911590,2023,9/14/23 15:43,41.91306073,-87.67831096,"(41.913060734, -87.678310956)"
13202100,JG414064,9/6/23 17:40,0000X E ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,FALSE,FALSE,131,1,34,33,14,1176593,1895068,2023,9/14/23 15:43,41.86741731,-87.62716875,"(41.867417305, -87.627168747)"
13201160,JG412986,9/6/23 1:30,048XX W LAKE ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,CTA TRAIN,FALSE,FALSE,1532,15,28,25,17,1144147,1901839,2023,9/14/23 15:43,41.8866684,-87.74611368,"(41.886668404, -87.746113681)"
13208455,JG421283,9/2/23 13:00,033XX W BALMORAL AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1712,17,39,13,08B,1152981,1935682,2023,9/14/23 15:41,41.97936582,-87.71277316,"(41.979365817, -87.712773161)"
13202029,JG414184,9/6/23 20:00,008XX W 76TH ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,621,6,17,71,08B,1172154,1854464,2023,9/14/23 15:43,41.75609493,-87.6446594,"(41.756094931, -87.644659401)"
13201680,JG413579,9/6/23 9:30,049XX S ARCHER AVE,460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,821,8,14,57,08B,1150934,1871470,2023,9/14/23 15:43,41.80320189,-87.72198373,"(41.803201891, -87.72198373)"
13208575,JG420467,9/3/23 12:45,018XX W FULLERTON AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1931,19,32,7,6,1163748,1915979,2023,9/14/23 15:41,41.92507895,-87.67373434,"(41.925078949, -87.673734337)"
13202320,JG414293,9/6/23 22:10,036XX W ARMITAGE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,2525,25,26,22,04A,1151973,1913049,2023,9/14/23 15:43,41.91727917,-87.71707865,"(41.917279172, -87.717078645)"
13201504,JG413456,9/6/23 11:32,105XX S EWING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,FALSE,432,4,10,52,14,1202174,1835608,2023,9/14/23 15:43,41.70364062,-87.53528545,"(41.703640622, -87.535285448)"
13202169,JG413704,9/6/23 13:24,043XX S LA SALLE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,TRUE,FALSE,215,2,20,37,04A,1176127,1876478,2023,9/14/23 15:43,41.81641543,-87.62943881,"(41.81641543, -87.629438806)"
13202309,JG414322,9/6/23 23:31,048XX W FOSTER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1621,16,39,12,15,1143328,1934145,2023,9/14/23 15:43,41.97533458,-87.7483118,"(41.975334583, -87.748311799)"
13202135,JG413936,9/6/23 16:55,033XX W CHICAGO AVE,320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1121,11,27,23,3,1153805,1905131,2023,9/14/23 15:43,41.89551514,-87.71055902,"(41.89551514, -87.710559023)"
13201304,JG413096,9/6/23 7:10,008XX W JUNIOR TER,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,TRUE,1915,19,46,3,7,1169959,1928885,2023,9/14/23 15:43,41.96036017,-87.65053465,"(41.960360168, -87.650534646)"
13201811,JG413880,9/6/23 16:12,021XX N CALIFORNIA AVE,460,BATTERY,SIMPLE,POLICE FACILITY / VEHICLE PARKING LOT,TRUE,FALSE,1414,14,1,22,08B,1157345,1914452,2023,9/14/23 15:43,41.92102149,-87.69730355,"(41.921021491, -87.69730355)"
13201763,JG413588,9/6/23 3:00,003XX W 23RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,914,9,11,34,14,1174424,1889041,2023,9/14/23 15:43,41.85092747,-87.63531128,"(41.85092747, -87.635311283)"
13201775,JG413827,9/6/23 13:00,006XX W HUTCHINSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1915,19,46,3,14,1170953,1928526,2023,9/14/23 15:43,41.95935327,-87.64689082,"(41.959353269, -87.646890819)"
13202175,JG414199,9/6/23 20:51,055XX W CHICAGO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),TRUE,FALSE,1524,15,37,25,15,1139250,1904792,2023,9/14/23 15:43,41.89486235,-87.76402503,"(41.894862353, -87.764025029)"
13202443,JG414467,9/6/23 22:00,002XX N PULASKI RD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1114,11,28,26,7,1149685,1901255,2023,9/14/23 15:43,41.88496005,-87.72579172,"(41.884960051, -87.725791717)"
13201154,JG412983,9/6/23 1:26,001XX E LA SALLE DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,FALSE,TRUE,1814,18,43,7,26,1176813,1911874,2023,9/14/23 15:43,41.91352886,-87.6258524,"(41.913528863, -87.6258524)"
13203515,JG413801,9/6/23 15:51,082XX S COLES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,424,4,7,46,14,1198250,1850974,2023,9/14/23 15:43,41.74590509,-87.54914144,"(41.745905086, -87.549141439)"
13202240,JG414270,9/6/23 19:40,008XX N MICHIGAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1833,18,2,8,7,1177330,1906499,2023,9/14/23 15:43,41.89876792,-87.62411633,"(41.898767916, -87.624116333)"
13202801,JG414907,9/6/23 21:00,005XX W 96TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2223,22,9,73,7,1174208,1841224,2023,9/14/23 15:43,41.71971727,-87.63752426,"(41.719717269, -87.63752426)"
13208139,JG421314,9/1/23 0:00,042XX S MICHIGAN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,FALSE,FALSE,213,2,3,38,11,1177862,1876957,2023,9/14/23 15:41,41.81769067,-87.62305996,"(41.81769067, -87.623059961)"
13202525,JG414587,9/6/23 23:30,015XX N LEAVITT ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1424,14,1,24,6,1161452,1910354,2023,9/14/23 15:43,41.90969171,-87.68232779,"(41.909691708, -87.682327785)"
13201620,JG413479,9/6/23 2:00,0000X W 95TH ST,320,ROBBERY,STRONG ARM - NO WEAPON,CTA BUS,FALSE,FALSE,511,5,9,49,3,1177494,1841973,2023,9/14/23 15:43,41.72169912,-87.62546609,"(41.721699115, -87.625466085)"
13202191,JG414164,9/6/23 20:05,013XX W 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,2222,22,21,73,15,1168922,1841756,2023,9/14/23 15:43,41.72129276,-87.65687005,"(41.721292763, -87.656870051)"
